# Pre-registered experiment manifest — Block A: /orchestrate coordination-loop
# pass rate at real n. Written BEFORE the first run.
#
# P20 closed on ONE live dispatch that passed once, at seed 42, think budget
# 1500, roadmap spec, Laguna S. This manifest re-measures THAT EXACT
# configuration at n=30, varying only the seed. It is a measurement, not a
# comparison: spec, variant, think budget, worker count, and round cap are all
# held at P20's values.
#
# Seeds 101-130 are disjoint from every prior body of evidence in this repo
# (P17 used 1-3; overnight-chain 1-10; p13 1-6; P20's live run 42). Seed 42 is
# deliberately NOT re-run — that observation already exists and stands on its
# own; re-running it would overwrite prior evidence with a fresh draw.
#
# A recorded seed is NEVER re-run. An interrupted night resumes here.
# Adding rows after runs begin invalidates the pre-registration.
#
# Runner: Tools/run-orchestrate-campaign.py
spec	think	seed
roadmap	1500	101
roadmap	1500	102
roadmap	1500	103
roadmap	1500	104
roadmap	1500	105
roadmap	1500	106
roadmap	1500	107
roadmap	1500	108
roadmap	1500	109
roadmap	1500	110
roadmap	1500	111
roadmap	1500	112
roadmap	1500	113
roadmap	1500	114
roadmap	1500	115
roadmap	1500	116
roadmap	1500	117
roadmap	1500	118
roadmap	1500	119
roadmap	1500	120
roadmap	1500	121
roadmap	1500	122
roadmap	1500	123
roadmap	1500	124
roadmap	1500	125
roadmap	1500	126
roadmap	1500	127
roadmap	1500	128
roadmap	1500	129
roadmap	1500	130
