# Pre-registered experiment manifest — Block B: firm up Mellum's 15/17 on
# editing tasks at real n. Written BEFORE the first run.
#
# NOT an amendment to experiment-manifest.tsv (P17), which is complete and
# closed. P17's seeds 1-3 are already recorded there and are NEVER re-run or
# overwritten; this manifest uses disjoint seeds 4-23 so the two bodies of
# evidence stay independent and can be pooled or read separately.
#
# Design: 3 editing fixtures x rounds=2 x seeds 4..23 = 60 cells.
#   - rounds fixed at 2. P17 measured no budget effect on editing (8/8 at
#     rounds=2 vs 7/9 at rounds=5) and rounds=2 is the cheaper cell. Holding
#     it fixed makes this a MEASUREMENT of one configuration, not a comparison.
#   - framing-2 (author+edit, 1/6) is deliberately EXCLUDED. This block
#     measures the editing claim only; the authoring limit is a separate
#     question and mixing them is what produced the pooled number being firmed.
#
# Adding rows after runs begin invalidates the pre-registration.
# Runner: EXP_MANIFEST=<this> EXP_RESULTS=<results-editing-n20.tsv> Tools/run-experiment.py
fixture	rounds	seed
plausible-wrong-fix	2	4
plausible-wrong-fix	2	5
plausible-wrong-fix	2	6
plausible-wrong-fix	2	7
plausible-wrong-fix	2	8
plausible-wrong-fix	2	9
plausible-wrong-fix	2	10
plausible-wrong-fix	2	11
plausible-wrong-fix	2	12
plausible-wrong-fix	2	13
plausible-wrong-fix	2	14
plausible-wrong-fix	2	15
plausible-wrong-fix	2	16
plausible-wrong-fix	2	17
plausible-wrong-fix	2	18
plausible-wrong-fix	2	19
plausible-wrong-fix	2	20
plausible-wrong-fix	2	21
plausible-wrong-fix	2	22
plausible-wrong-fix	2	23
depth-2	2	4
depth-2	2	5
depth-2	2	6
depth-2	2	7
depth-2	2	8
depth-2	2	9
depth-2	2	10
depth-2	2	11
depth-2	2	12
depth-2	2	13
depth-2	2	14
depth-2	2	15
depth-2	2	16
depth-2	2	17
depth-2	2	18
depth-2	2	19
depth-2	2	20
depth-2	2	21
depth-2	2	22
depth-2	2	23
depth-3	2	4
depth-3	2	5
depth-3	2	6
depth-3	2	7
depth-3	2	8
depth-3	2	9
depth-3	2	10
depth-3	2	11
depth-3	2	12
depth-3	2	13
depth-3	2	14
depth-3	2	15
depth-3	2	16
depth-3	2	17
depth-3	2	18
depth-3	2	19
depth-3	2	20
depth-3	2	21
depth-3	2	22
depth-3	2	23
