fixture	rounds	seed	outcome	detail	capture
plausible-wrong-fix	2	1	pass	13/13	20260826-133408-fixture-plausible-wrong-fix
plausible-wrong-fix	2	2	pass	13/13	20260826-133504-fixture-plausible-wrong-fix
plausible-wrong-fix	2	3	pass	13/13	20260826-133603-fixture-plausible-wrong-fix
depth-2	2	1	pass	13/13	20260826-133709-fixture-depth-2
depth-2	2	2	pass	13/13	20260826-133837-fixture-depth-2
depth-2	2	3	harness-void	V5 stop_reason=limit	20260826-134109-fixture-depth-2
depth-3	2	1	pass	13/13	20260826-134410-fixture-depth-3
depth-3	2	2	pass	13/13	20260826-134547-fixture-depth-3
depth-3	2	3	pass	13/13	20260826-134804-fixture-depth-3
framing-2	2	1	fail	2 failed, 11 passed, 3 warnings in 0.15s	20260826-135033-fixture-framing-2
framing-2	2	2	fail	1 of 9 preconditions unmet.	20260826-135234-fixture-framing-2
framing-2	2	3	fail	2 failed, 11 passed, 3 warnings in 0.15s	20260826-135420-fixture-framing-2
