# SUPERSEDED. Every row here ran under a directive that asserted "Exactly one
# file is wrong" regardless of how many were. Kept as evidence for v4 ledger
# iteration 1; NO number here enters the verdict. Re-run under the corrected
# directive lives in experiment-results.tsv.
fixture	rounds	seed	outcome	detail	capture
plausible-wrong-fix	2	1	pass	13/13	20260826-130119-fixture-plausible-wrong-fix
plausible-wrong-fix	2	2	pass	13/13	20260826-130209-fixture-plausible-wrong-fix
plausible-wrong-fix	2	3	pass	13/13	20260826-130305-fixture-plausible-wrong-fix
depth-2	2	1	harness-void	"directive asserted ""Exactly one file is wrong"" for a >1-file fixture; raw was fail: 2 failed, 11 passed, 3 warnings in 0.16s"	20260826-130402-fixture-depth-2
depth-2	2	2	harness-void	"directive asserted ""Exactly one file is wrong"" for a >1-file fixture; raw was fail: 4 failed, 9 passed, 3 warnings in 0.28s"	20260826-130648-fixture-depth-2
depth-2	2	3	harness-void	"directive asserted ""Exactly one file is wrong"" for a >1-file fixture; raw was fail: 2 failed, 11 passed, 3 warnings in 0.16s"	20260826-130950-fixture-depth-2
depth-3	2	1	harness-void	"directive asserted ""Exactly one file is wrong"" for a >1-file fixture; raw was pass: 13/13"	20260826-131225-fixture-depth-3
depth-3	2	2	harness-void	"directive asserted ""Exactly one file is wrong"" for a >1-file fixture; raw was harness-void: no graded round recorded"	20260826-131357-fixture-depth-3
depth-3	2	3	harness-void	"directive asserted ""Exactly one file is wrong"" for a >1-file fixture; raw was pass: 13/13"	20260826-131536-fixture-depth-3
framing-2	2	1	harness-void	"directive asserted ""Exactly one file is wrong"" for a >1-file fixture; raw was fail: 1 of 9 preconditions unmet."	20260826-131812-fixture-framing-2
framing-2	2	2	harness-void	"directive asserted ""Exactly one file is wrong"" for a >1-file fixture; raw was fail: 1 of 9 preconditions unmet."	20260826-132020-fixture-framing-2
framing-2	2	3	harness-void	"directive asserted ""Exactly one file is wrong"" for a >1-file fixture; raw was fail: 2 failed, 11 passed, 7 warnings in 0.16s"	20260826-132204-fixture-framing-2
